cfr(B)_1_KM359439	cfr_B_1_KM359439
blaCMY-147_1_KY563765	blaCMY_147_1_KY563765
blaSPM-1_1_AY341249	blaSPM_1_1_AY341249
qnrB20_1_AB379831	qnrB20_1_AB379831
blaOXA-57_1_AJ631966	blaOXA_57_1_AJ631966
aadD_2_M19465	aadD_2_M19465
blaOXA-380_1_KF986261	blaOXA_380_1_KF986261
blaKPC-14_1_JX524191	blaKPC_14_1_JX524191
blaCMY-104_1_KF150216	blaCMY_104_1_KF150216
blaSHV-24_1_AB023477	blaSHV_24_1_AB023477
blaOXA-3_1_L07945	blaOXA_3_1_L07945
erm(T)_1_M64090	erm_T_1_M64090
tet(O/32/O)_2_AJ295238	tet_O_32_O_2_AJ295238
blaCARB-35_1_BK008900	blaCARB_35_1_BK008900
blaCTX-M-142_1_KF240809	blaCTX_M_142_1_KF240809
blaCTX-M-25_1_AF518567	blaCTX_M_25_1_AF518567
blaPLA-3A_1_AY507663	blaPLA_3A_1_AY507663
blaIND-15_1_AB563173	blaIND_15_1_AB563173
cphA5_1_AY227051	cphA5_1_AY227051
blaBIL-1_1_X74512	blaBIL_1_1_X74512
blaKPC-35_1_MH404098	blaKPC_35_1_MH404098
blaLEN7_1_AJ635425	blaLEN7_1_AJ635425
ere(A)_3_AF326209	ere_A_3_AF326209
blaZ_63_NZ_JUMX01000103	blaZ_63_NZ_JUMX01000103
blaZ_94_LYRW01000005	blaZ_94_LYRW01000005
blaTEM-28_1_U37195	blaTEM_28_1_U37195
blaZ_109_AOAS01000022	blaZ_109_AOAS01000022
lnu(F)_2_DQ836009	lnu_F_2_DQ836009
blaOXA-461_1_KR061509	blaOXA_461_1_KR061509
dfrA17_2_JN645879	dfrA17_2_JN645879
blaOXA-528_1_KX599407	blaOXA_528_1_KX599407
aadA11_2_AJ567827	aadA11_2_AJ567827
fexB_1_JN201336	fexB_1_JN201336
blaTEM-178_1_X97254	blaTEM_178_1_X97254
qnrB48_1_JQ762640	qnrB48_1_JQ762640
ere(A)_6_DQ157752	ere_A_6_DQ157752
blaTEM-151_1_DQ834729	blaTEM_151_1_DQ834729
blaGOB-1_1_EF394442	blaGOB_1_1_EF394442
blaOXA-417_1_KM220587	blaOXA_417_1_KM220587
blaA_2_AY954728	blaA_2_AY954728
blaOXA-483_1_KP264125	blaOXA_483_1_KP264125
blaSHV-92_1_DQ836922	blaSHV_92_1_DQ836922
blaCMY-135_1_KP981366	blaCMY_135_1_KP981366
mecA_8_NC_007168	mecA_8_NC_007168
blaLEN9_1_AJ635405	blaLEN9_1_AJ635405
blaIMP-11_1_AB074436	blaIMP_11_1_AB074436
blaOXA-83_1_DQ309277	blaOXA_83_1_DQ309277
vat(H)_1_GQ205627	vat_H_1_GQ205627
aph(2'')-If_2_AY701528	aph_2_If_2_AY701528
blaTEM-63_1_AF332513	blaTEM_63_1_AF332513
blaOXA-234_1_NG_050607	blaOXA_234_1_NG_050607
blaVIM-35_1_JX982634	blaVIM_35_1_JX982634
blaVIM-12_1_DQ143913	blaVIM_12_1_DQ143913
blaVIM-52_1_KX349731	blaVIM_52_1_KX349731
blaOCH-2_1_AJ295340	blaOCH_2_1_AJ295340
aac(6')-IIb_1_L06163	aac_6_IIb_1_L06163
optrA_6_KT862784	optrA_6_KT862784
blaOXA-500_1_JMNQ01000002	blaOXA_500_1_JMNQ01000002
erm(A)_2_AF002716	erm_A_2_AF002716
cat_1_M11587	cat_1_M11587
ant(2'')-Ia_19_GQ466184	ant_2_Ia_19_GQ466184
blaVIM-36_1_JX982635	blaVIM_36_1_JX982635
blaOXA-269_1_APQJ01000007	blaOXA_269_1_APQJ01000007
blaACT-1_1_U58495	blaACT_1_1_U58495
blaCMY-90_1_HE819404	blaCMY_90_1_HE819404
blaZ_80_KU607855	blaZ_80_KU607855
blaZ_65_CSEV01000005	blaZ_65_CSEV01000005
blaHERA-2_1_AF398334	blaHERA_2_1_AF398334
blaZ_47_NZ_JYGF01000020	blaZ_47_NZ_JYGF01000020
blaCMY-114_1_KM087846	blaCMY_114_1_KM087846
blaOXA-77_1_AY949202	blaOXA_77_1_AY949202
blaOXA-527_1_KX599404	blaOXA_527_1_KX599404
mdt(A)_1_X92946	mdt_A_1_X92946
blaCMY-105_1_KJ207205	blaCMY_105_1_KJ207205
blaACT-4_2_AJ311172	blaACT_4_2_AJ311172
blaCTX-M-216_1_MH243352	blaCTX_M_216_1_MH243352
blaTEM-177_1_FN652295	blaTEM_177_1_FN652295
blaCMY-20_1_AY960293	blaCMY_20_1_AY960293
tet(Q)_1_L33696	tet_Q_1_L33696
aadA1_3_JQ414041	aadA1_3_JQ414041
blaOXA-284_1_APRU01000004	blaOXA_284_1_APRU01000004
erm(D)_1_M29832	erm_D_1_M29832
blaTEM-215_1_KP050492	blaTEM_215_1_KP050492
blaGES-9_1_AY920928	blaGES_9_1_AY920928
blaOXA-132_1_EU547447	blaOXA_132_1_EU547447
qnrA7_1_GQ463707	qnrA7_1_GQ463707
blaCTX-M-99_1_HM803271	blaCTX_M_99_1_HM803271
tet(M)_1_X92947	tet_M_1_X92947
blaOXA-340_1_KF048912	blaOXA_340_1_KF048912
blaTEM-217_1_HG934763	blaTEM_217_1_HG934763
blaCMY-50_1_FN645444	blaCMY_50_1_FN645444
blaOXA-350_1_KF297579	blaOXA_350_1_KF297579
blaTEM-79_1_AF190692	blaTEM_79_1_AF190692
nimE_1_AM042593	nimE_1_AM042593
aph(3')-VIIa_1_M29953	aph_3_VIIa_1_M29953
blaCMY-106_1_KM983294	blaCMY_106_1_KM983294
blaCTX-M-3_1_Y10278	blaCTX_M_3_1_Y10278
blaOXA-164_1_GU831575	blaOXA_164_1_GU831575
blaIMP-14_1_AY553332	blaIMP_14_1_AY553332
tet(C)_3_AF055345	tet_C_3_AF055345
blaZ_89_FKPS01000007	blaZ_89_FKPS01000007
blaOXY-1-2_2_AJ871864	blaOXY_1_2_2_AJ871864
aac(6')-30-aac(6')-Ib'_1_AJ584652	aac_6_30_aac_6_Ib_1_AJ584652
blaOXA-53_1_AY289608	blaOXA_53_1_AY289608
tetA(P)_2_L20800	tetA_P_2_L20800
blaDHA-25_1_KY563770	blaDHA_25_1_KY563770
blaOXA-11_1_Z22590	blaOXA_11_1_Z22590
blaOXA-390_1_KJ135342	blaOXA_390_1_KJ135342
tet(43)_1_GQ244501	tet_43_1_GQ244501
blaCTX-M-64_1_AB284167	blaCTX_M_64_1_AB284167
ere(B)_1_A15097	ere_B_1_A15097
blaCMY-129_1_KM985467	blaCMY_129_1_KM985467
blaZ_43_NZ_CAVU010000015	blaZ_43_NZ_CAVU010000015
blaOXA-352_1_KF297581	blaOXA_352_1_KF297581
aadA10_2_AM087405	aadA10_2_AM087405
blaCMY-9_1_AB061794	blaCMY_9_1_AB061794
blaNDM-11_1_KP265939	blaNDM_11_1_KP265939
blaSHV-155_1_JX121122	blaSHV_155_1_JX121122
blaVIM-28_1_JF900599	blaVIM_28_1_JF900599
blaOXA-64_1_AY750907	blaOXA_64_1_AY750907
blaCMY-27_1_EU515250	blaCMY_27_1_EU515250
blaTRU_1_EU046614	blaTRU_1_EU046614
blaOXA-258_1_HE614014	blaOXA_258_1_HE614014
blaOXA-348_1_KF297577	blaOXA_348_1_KF297577
blaZ_129_CP003194	blaZ_129_CP003194
qnrB34_1_JN173056	qnrB34_1_JN173056
blaOXA-174_1_HM113560	blaOXA_174_1_HM113560
mph(C)_1_AB013298	mph_C_1_AB013298
blaOXA-555_1_KY126224	blaOXA_555_1_KY126224
blaOXA-95_1_DQ519089	blaOXA_95_1_DQ519089
blaSHV-168_1_JX870080	blaSHV_168_1_JX870080
blaOXA-343_1_KF048916	blaOXA_343_1_KF048916
blaB-2_1_AF189300	blaB_2_1_AF189300
blaSHV-71_1_AM176546	blaSHV_71_1_AM176546
blaTEM-176_1_GU550123	blaTEM_176_1_GU550123
blaCMY-116_1_KM087840	blaCMY_116_1_KM087840
aph(3')-IIc_1_AM743169	aph_3_IIc_1_AM743169
blaZ_31_JIFU01000008	blaZ_31_JIFU01000008
aac(3)-IVa_1_X01385	aac_3_IVa_1_X01385
blaOXA-353_1_KF297582	blaOXA_353_1_KF297582
blaSHV-13_1_AF164577	blaSHV_13_1_AF164577
blaIMP-22_2_DQ361087	blaIMP_22_2_DQ361087
blaSHV-1b-b_1_DQ166783	blaSHV_1b_b_1_DQ166783
blaCMY-122_1_KM985460	blaCMY_122_1_KM985460
blaCMY-81_1_JQ733578	blaCMY_81_1_JQ733578
blaTEM-97_1_AF397067	blaTEM_97_1_AF397067
blaMAL-1_1_AJ277209	blaMAL_1_1_AJ277209
blaCMY-107_1_GQ162215	blaCMY_107_1_GQ162215
blaGES-4_1_AB116723	blaGES_4_1_AB116723
tet(O/32/O)_1_JQ740052	tet_O_32_O_1_JQ740052
blaVIM-15_1_EU419745	blaVIM_15_1_EU419745
blaCFE-1_1_AB107899	blaCFE_1_1_AB107899
blaTEM-17_1_Y14574	blaTEM_17_1_Y14574
blaCTX-M-16_1_AY029068	blaCTX_M_16_1_AY029068
blaOXA-207_1_LLFS01000355	blaOXA_207_1_LLFS01000355
qnrB10_2_HM439644	qnrB10_2_HM439644
blaCTX-M-126_1_AB703103	blaCTX_M_126_1_AB703103
blaIMP-26_1_GU045307	blaIMP_26_1_GU045307
dfrA17_1_FJ460238	dfrA17_1_FJ460238
erm(30)_1_AF079138	erm_30_1_AF079138
blaOXA-4_1_AY162283	blaOXA_4_1_AY162283
blaCTX-M-85_1_FJ214368	blaCTX_M_85_1_FJ214368
blaCTX-M-101_1_HQ398214	blaCTX_M_101_1_HQ398214
fexA_1_AJ549214	fexA_1_AJ549214
blaVIM-57_1_MH450217	blaVIM_57_1_MH450217
blaOXA-519_1_KX349732	blaOXA_519_1_KX349732
blaCTX-M-76_1_AM982520	blaCTX_M_76_1_AM982520
blaZ_32_JINH01000005	blaZ_32_JINH01000005
aph(2'')-If_1_KF652097	aph_2_If_1_KF652097
qnrB7_1_EU043311	qnrB7_1_EU043311
aac(3)-IIIc_1_L06161	aac_3_IIIc_1_L06161
blaCTX-M-55_1_DQ810789	blaCTX_M_55_1_DQ810789
blaOXA-129_1_FJWZ01000025	blaOXA_129_1_FJWZ01000025
qnrS3_1_EU077611	qnrS3_1_EU077611
blaBEL-2_1_FJ666063	blaBEL_2_1_FJ666063
ant(2'')-Ia_13_DQ176450	ant_2_Ia_13_DQ176450
blaCTX-M-74_1_GQ149243	blaCTX_M_74_1_GQ149243
blaPAO_2_FJ666065	blaPAO_2_FJ666065
blaZ_55_NZ_JVLY01000044	blaZ_55_NZ_JVLY01000044
blaOXA-257_1_KC567681	blaOXA_257_1_KC567681
aph(6)-Ia_2_Y00459	aph_6_Ia_2_Y00459
blaCMY-99_1_KF305673	blaCMY_99_1_KF305673
blaOXA-308_1_APPN01000080	blaOXA_308_1_APPN01000080
optrA_15_KX620942	optrA_15_KX620942
blaMOX-2_1_AJ276453	blaMOX_2_1_AJ276453
